company_name,address,street,business_ownership,business_type,naics_description,sic_description,sales,rent_expenses,sq_footage,latitude,longitude
Chem-Dry,2516 State Ave,State Avenue,Private,Home Remodel & Repair,Carpet And Upholstery Cleaning Services,Carpet & Rug Cleaners,351000,Less than 10k,1500-2499,40.504997,-80.146421
Pinnacle Systems Inc,2504 State Ave,State Avenue,Private,Professional Service & Consulting,"Process, Physical Distribution, And Logistics Cons",Business Management Consultants,546000,10k-25k,2500-4999,40.505524,-80.146935
Triad Controls Inc,2504 State Ave,State Avenue,Private,Retail,"Electrical Apparatus And Equipment, Wiring Supplie",Controls Control Systs/Regulators (Whls),3724000,10k-25k,2500-4999,40.505524,-80.146935
Best Hydraulic Wrench Inc,2410 State Ave,State Avenue,Private,Industry,Industrial Machinery And Equipment Merchant Wholes,Hydraulic Equipment & Supplies (Whls),2358000,10k-25k,1500-2499,40.506054,-80.149139
Church Of Christ,1644 State Ave,State Avenue,Private,Religious Organization,Religious Organizations,Churches,0,,1500-2499,40.512498,-80.153106
Graff's Service Station,1601 5th Ave,5th Avenue,Private,Service Station,Other Gasoline Stations,Service Stations-Gasoline & Oil,2634000,Less than 10k,1-1499,40.513663,-80.153386
Nicco's Pizzeria,1610 5th Ave,5th Avenue,Private,Restaurants & Taverns,Full-Service Restaurants,Pizza,254000,10k-25k,1500-2499,40.513225,-80.153424
Atm,1530 4th Ave,4th Avenue,Private,Service Station,Commercial Banking,Automated Teller Machines,0,,,40.514271,-80.153557
Atm,1602 5th Ave,5th Avenue,Private,Service Station,Commercial Banking,Automated Teller Machines,0,,,40.513309,-80.153685
Speedy Food Mart,1602 5th Ave,5th Avenue,Private,Retail,Convenience Stores,Convenience Stores,414000,Less than 10k,1500-2499,40.513309,-80.153685
Big Shot Bobs,1534 5th Ave,5th Avenue,Private,Restaurants & Taverns,Full-Service Restaurants,Restaurants,254000,Less than 10k,1500-2499,40.513449,-80.154119
Edwards Physical Therapy,1541 State Ave,State Avenue,Private,Healthcare,"Offices Of Physical, Occupational And Speech Thera",Physical Therapists,275000,10k-25k,1500-2499,40.513293,-80.154315
Montour Hotel,1500 4th Ave,4th Avenue,Private,Hotels & Motels,Hotels (Except Casino Hotels) And Motels,Hotels & Motels,690000,Less than 10k,2500-4999,40.514797,-80.154659
Citizen Care Co,1425 4th Ave,4th Avenue,Private,Professional Service & Consulting,Employment Placement Agencies,Employment Agencies & Opportunities,1465000,50k-100k,10000-19999,40.515382,-80.154976
Jenkins Corp,1517 State Ave,State Avenue,Private,Merchandise,All Other General Merchandise Stores,Variety Stores,289000,Less than 10k,1500-2499,40.513619,-80.15518
T & T Contractors,1511 State Ave,State Avenue,Private,Home Remodel & Repair,New Single-Family Housing Construction (Except For,General Contractors,1721000,Less than 10k,1500-2499,40.513619,-80.15518
Automation X,1420 4th Ave,4th Avenue,Private,Industry,Industrial Machinery And Equipment Merchant Wholes,Machinery-Rebuilding & Repairing (Whls),5186000,25k-50k,5000-9999,40.514902,-80.155276
R Dicicco Home Improvements,1420 4th Ave,4th Avenue,Private,Home Remodel & Repair,New Single-Family Housing Construction (Except For,General Contractors,1721000,10k-25k,2500-4999,40.514902,-80.155276
Montour True Value Hardware,1503 5th Ave,5th Avenue,Private,Retail,Hardware Stores,Hardware-Retail,472000,Less than 10k,1-1499,40.51413,-80.155426
Eger Eye Group,1501 State Ave,State Avenue,Private,Healthcare,Offices Of Optometrists,Optometrists OD,2292000,100k-250k,20000-39999,40.513945,-80.155624
Eger Eye Group,1501 State Ave,State Avenue,Private,Healthcare,Offices Of Optometrists,Optometrists OD,344000,,,40.513945,-80.155624
Eger Eye Group,1501 State Ave,State Avenue,Private,Healthcare,Offices Of Optometrists,Optometrists OD,344000,,,40.513945,-80.155624
"Ewonce, Amber OD",1501 State Ave,State Avenue,Private,Healthcare,Offices Of Optometrists,Optometrists OD,344000,,,40.513945,-80.155624
Jack W Anderson,1423 5th Ave,5th Avenue,Private,Unclassified,Unclassified Establishments,Nonclassified Establishments,0,,1500-2499,40.514545,-80.155624
Pave Rite,1423 5th Ave,5th Avenue,Private,Professional Service & Consulting,All Other Specialty Trade Contractors,Asphalt Paving Contractors,610000,10k-25k,1-1499,40.514545,-80.155624
Triple Crown Training LLC,1403 4th Ave,4th Avenue,Private,Fitness,All Other Amusement And Recreation Industries,Sports Instruction,459000,10k-25k,2500-4999,40.515701,-80.155668
Deramo Beverage Co,1404 4th Ave,4th Avenue,Private,Breweries & Distilleries,Other Grocery And Related Products Merchant Wholes,Beverages (Whls),3737000,Less than 10k,1500-2499,40.5151,-80.15594
Tiffany's Towing,1365 4th Ave,4th Avenue,Private,Automotive,Motor Vehicle Towing,Wrecker Service,305000,10k-25k,1-1499,40.515903,-80.15623
Montour Industrial Supply,1400 2nd Ave,2nd Avenue,Private,Industry,Plumbing And Heating Equipment And Supplies (Hydro,Plumbing Fixtures & Supplies-Wholesale,14403000,10k-25k,10000-19999,40.517642,-80.156439
Shea Manufacturing Inc,1400 2nd Ave,2nd Avenue,Private,Industry,Fluid Power Valve And Hose Fitting Manufacturing,Fluid Power Valves/Hose Fittings (Mfrs),2259000,10k-25k,10000-19999,40.517642,-80.156439
Shannon's Automotive,1349 4th Ave,4th Avenue,Private,Automotive,General Automotive Repair,Automobile Repairing & Service,257000,Less than 10k,1-1499,40.515987,-80.156749
Milton J Klein Do PC,1352 5th Ave,5th Avenue,Private,Healthcare,Offices Of Physicians (Except Mental Health Specia,Physicians & Surgeons,506000,,1500-2499,40.514732,-80.157532
Steiner Realty Inc,1347 State Ave,State Avenue,Private,Real Estate,Offices Of Other Holding Companies,Holding Companies (Non-Bank),3620000,,5000-9999,40.514331,-80.15787
Green Maple Enterprises LLC,1331 5th Ave,5th Avenue,Private,Professional Service & Consulting,All Other Support Services,Business Services NEC,185000,25k-50k,2500-4999,40.515479,-80.158218
